	condition	treatment	days	seurat_clusters	clusters	cluster_manual_label
573659	day9 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day9	5	5	Plasmablasts
573562	day9 RBD-NP	RBD-NP	day9	5	5	Plasmablasts
269811	day9 RBD-NP	RBD-NP	day9	5	5	Plasmablasts
166570	day9 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day9	5	5	Plasmablasts
524013	day4 RBD-NP	RBD-NP	day4	5	5	Plasmablasts
777875	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
600193	day9 RBD-NP	RBD-NP	day9	5	5	Plasmablasts
704123	day4 unstim	unstim	day4	5	5	Plasmablasts
453552	day4 unstim	unstim	day4	5	5	Plasmablasts
626310	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
202060	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
443611	day9 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day9	5	5	Plasmablasts
657626	day4 unstim	unstim	day4	5	5	Plasmablasts
20688	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
537082	day9 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day9	5	5	Plasmablasts
857308	day4 RBD-NP	RBD-NP	day4	5	5	Plasmablasts
491538	day9 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day9	5	5	Plasmablasts
102668	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
460710	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
188267	day9 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day9	5	5	Plasmablasts
576772	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
254709	day4 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day4	5	5	Plasmablasts
43101	day4 RBD-NP	RBD-NP	day4	5	5	Plasmablasts
319405	day9 RBD-NP+TLR7NP	RBD-NP+TLR7NP	day9	5	5	Plasmablasts
